Records,Features,Language,Model,Time
500000,8,Python,NB,0.06952201236378062
500000,8,R,NB,0.1542984
500000,8,Julia,NB,0.3794456
500000,16,Python,NB,0.1383009823885831
500000,16,R,NB,0.2811026
500000,16,Julia,NB,0.46617427
500000,32,Python,NB,0.2651753208853982
500000,32,R,NB,0.551327
500000,32,Julia,NB,0.8643344
500000,64,Python,NB,0.5299506187438965
500000,64,R,NB,1.109042
500000,64,Julia,NB,1.4877615
500000,128,Python,NB,1.030376304279674
500000,128,R,NB,2.208114
500000,128,Julia,NB,3.0365682
